venue,symbol,open_time,low,close,volume
Binance,BUSDUSDT,1678748400000,0.9964,0.9969,23588003.0
Binance,BUSDUSDT,1678752000000,0.9967,0.9971,21532789.0
Binance,BUSDUSDT,1678755600000,0.997,0.9971,20767627.0
Binance,BUSDUSDT,1678759200000,0.9966,0.997,21404154.0
Binance,BUSDUSDT,1678762800000,0.9966,0.997,16553656.0
Binance,BUSDUSDT,1678766400000,0.9968,0.9968,12255990.0
Binance,BUSDUSDT,1678770000000,0.996,0.996,35831958.0
Binance,BUSDUSDT,1678773600000,0.9958,0.9961,19305577.0
Binance,BUSDUSDT,1678777200000,0.9959,0.9959,21932983.0
Binance,BUSDUSDT,1678780800000,0.9959,0.996,34265390.0
Binance,BUSDUSDT,1678784400000,0.9956,0.996,46023948.0
Binance,BUSDUSDT,1678788000000,0.9952,0.9964,27817687.0
Binance,BUSDUSDT,1678791600000,0.996,0.9962,23400218.0
Binance,BUSDUSDT,1678795200000,0.9961,0.9963,66204223.0
Binance,BUSDUSDT,1678798800000,0.9954,0.9959,74747584.0
Binance,BUSDUSDT,1678802400000,0.9957,0.9963,46814716.0
Binance,BUSDUSDT,1678806000000,0.9963,0.9966,74186684.0
Binance,BUSDUSDT,1678809600000,0.9964,0.9966,37446925.0
Binance,BUSDUSDT,1678813200000,0.9964,0.9969,31122055.0
Binance,BUSDUSDT,1678816800000,0.9967,0.9967,39285653.0
Binance,BUSDUSDT,1678820400000,0.9967,0.9968,46704142.0
Binance,BUSDUSDT,1678824000000,0.9966,0.9967,28437252.0
Binance,BUSDUSDT,1678827600000,0.9961,0.9963,32141640.0
Binance,BUSDUSDT,1678831200000,0.9958,0.9959,16829564.0
Binance,BUSDUSDT,1678834800000,0.9958,0.9965,25906114.0
Binance,BUSDUSDT,1678838400000,0.9963,0.9965,17618064.0
Binance,BUSDUSDT,1678842000000,0.9964,0.9966,22247437.0
Binance,BUSDUSDT,1678845600000,0.9964,0.9965,30282186.0
Binance,BUSDUSDT,1678849200000,0.9963,0.9963,21200015.0
Binance,BUSDUSDT,1678852800000,0.9957,0.9959,13714502.0
Binance,BUSDUSDT,1678856400000,0.9953,0.9955,24908660.0
Binance,BUSDUSDT,1678860000000,0.9953,0.9958,22771788.0
Binance,BUSDUSDT,1678863600000,0.9956,0.9958,28663776.0
Binance,BUSDUSDT,1678867200000,0.9951,0.9953,30151109.0
Binance,BUSDUSDT,1678870800000,0.9945,0.9948,31857736.0
Binance,BUSDUSDT,1678874400000,0.9947,0.9952,23154507.0
Binance,BUSDUSDT,1678878000000,0.9948,0.9956,34364665.0
Binance,BUSDUSDT,1678881600000,0.9949,0.9954,32458273.0
Binance,BUSDUSDT,1678885200000,0.995,0.9957,61004629.0
Binance,BUSDUSDT,1678888800000,0.9955,0.9965,76497784.0
Binance,BUSDUSDT,1678892400000,0.9963,0.9972,73492432.0
Binance,BUSDUSDT,1678896000000,0.997,0.9976,112701902.0
Binance,BUSDUSDT,1678899600000,0.9975,0.9976,27489515.0
Binance,BUSDUSDT,1678903200000,0.9976,0.9977,28830604.0
Binance,BUSDUSDT,1678906800000,0.9967,0.997,52404415.0
Binance,BUSDUSDT,1678910400000,0.9962,0.9967,53087357.0
Binance,BUSDUSDT,1678914000000,0.9962,0.9965,12190738.0
