hour_utc,open,high,low,close,vwap,volume,n_trades
2019-05-04T01:00:00Z,0.9826,0.985,0.9826,0.985,0.9831793520526623,123364.65508055998,45.0
2019-05-04T02:00:00Z,0.9846,0.9846,0.9816,0.9816,0.9824197984080697,122412.64757091002,138.0
2019-05-04T03:00:00Z,0.9816,0.982,0.9813,0.9813,0.9814026241173103,244734.90073005,146.0
2019-05-04T04:00:00Z,0.9818,0.9842,0.9813,0.9823,0.982203545541032,105999.10310206,214.0
2019-05-04T05:00:00Z,0.9829,0.984,0.9827,0.984,0.9839276985684073,102027.02176869998,109.0
2019-05-04T06:00:00Z,0.984,0.9885,0.9837,0.9878,0.9863295208131988,621244.2738463,286.0
2019-05-04T07:00:00Z,0.9879,0.9886,0.9872,0.9876,0.9881521326640389,11350.55610776,32.0
2019-05-04T08:00:00Z,0.9874,0.9876,0.9861,0.9861,0.9872241659190354,155830.80022905997,94.0
2019-05-04T09:00:00Z,0.9865,0.9883,0.9865,0.9882,0.9879085911660384,62189.32571045001,34.0
2019-05-04T10:00:00Z,0.9883,0.9909,0.988,0.9894,0.9892034124954571,158158.80084327003,86.0
2019-05-04T11:00:00Z,0.9891,0.9899,0.9891,0.9891,0.9891014339850991,44327.95177258,51.0
2019-05-04T12:00:00Z,0.9902,0.9902,0.9884,0.9884,0.9896379880709099,50723.02623738001,29.0
2019-05-04T13:00:00Z,0.9888,0.9909,0.9881,0.9886,0.9897841250738951,123153.76255377,127.0
2019-05-04T14:00:00Z,0.9886,0.99,0.9873,0.9875,0.988569687452718,346043.46432661,206.0
2019-05-04T15:00:00Z,0.9875,0.9876,0.9862,0.9862,0.9871603712125196,81232.68470247998,86.0
2019-05-04T16:00:00Z,0.9862,0.9871,0.9862,0.9865,0.9867003678663663,19054.84172158,35.0
2019-05-04T17:00:00Z,0.9865,0.9865,0.9861,0.9861,0.9863169053796479,15763.589482379999,21.0
2019-05-04T18:00:00Z,0.986,0.9864,0.986,0.9861,0.9860277752885968,16240.467812510002,15.0
2019-05-04T19:00:00Z,0.986,0.9867,0.9856,0.9866,0.9860530306222798,97108.35871663,89.0
2019-05-04T20:00:00Z,0.9867,0.9885,0.9866,0.988,0.9875159693865034,118266.1575776,122.0
2019-05-04T21:00:00Z,0.9873,0.995,0.9873,0.9947,0.9909682755904697,219082.03370559,260.0
2019-05-04T22:00:00Z,0.9944,0.9947,0.9929,0.9935,0.9941087612294959,10977.74261766,29.0
2019-05-04T23:00:00Z,0.9933,0.9933,0.9905,0.9905,0.990909532975092,30569.311279380006,71.0
2019-05-05T00:00:00Z,0.9905,0.991,0.99,0.9909,0.9905049917348451,23537.04109067,57.0
2019-05-05T01:00:00Z,0.9907,0.9907,0.99,0.99,0.9901303542009494,2555.92567855,18.0
2019-05-05T02:00:00Z,0.9905,0.9905,0.9903,0.9903,0.9904736350407115,174.23503491000002,3.0
2019-05-05T03:00:00Z,0.9903,0.9905,0.9896,0.9902,0.9900722883246954,1617.6665405800002,15.0
2019-05-05T04:00:00Z,0.99,0.99,0.9895,0.9895,0.9897500779809475,1092.12763786,8.0
2019-05-05T05:00:00Z,0.9895,0.9895,0.9887,0.9887,0.9894162379034159,29574.75315587,17.0
2019-05-05T06:00:00Z,0.9891,0.9893,0.9887,0.9893,0.9887826305103695,15287.15220414,15.0
2019-05-05T07:00:00Z,0.9893,0.9905,0.9893,0.9905,0.9901844956896684,17522.314196660005,27.0
2019-05-05T08:00:00Z,0.9907,0.9924,0.9907,0.9919,0.9915637152833441,40783.57160352,26.0
2019-05-05T09:00:00Z,0.9915,0.9915,0.9911,0.9911,0.9911456226909608,28788.97793301,28.0
2019-05-05T10:00:00Z,0.9911,0.9911,0.9905,0.9905,0.9907152199160353,12442.52310089,32.0
2019-05-05T11:00:00Z,0.9905,0.9908,0.9905,0.9905,0.9906999020572599,7511.24656035,13.0
2019-05-05T12:00:00Z,0.9906,0.9926,0.9906,0.9912,0.9916055712177921,44725.23585947,59.0
2019-05-05T13:00:00Z,0.9912,0.992,0.9912,0.9912,0.9912335587077116,1896.47112001,8.0
2019-05-05T14:00:00Z,0.992,0.993,0.9907,0.992,0.9917025867781333,86611.53941893001,57.0
2019-05-05T15:00:00Z,0.9919,0.992,0.9907,0.992,0.9913417110587484,119050.62591059,84.0
2019-05-05T16:00:00Z,0.992,0.992,0.9902,0.9907,0.9910533086238178,115933.84314162,158.0
2019-05-05T17:00:00Z,0.991,0.9913,0.9896,0.9896,0.9904110982666231,155737.06614521,119.0
2019-05-05T18:00:00Z,0.9896,0.9918,0.9885,0.9905,0.9895637904293869,95034.95961043001,108.0
2019-05-05T19:00:00Z,0.9905,0.9937,0.9891,0.9915,0.9909222694387932,180380.8340026,184.0
2019-05-05T20:00:00Z,0.9915,0.9915,0.99,0.9914,0.990749117564869,61841.935296409996,61.0
2019-05-05T21:00:00Z,0.9916,0.9929,0.9908,0.9917,0.991387768991767,106326.17085118,88.0
2019-05-05T22:00:00Z,0.991,0.991,0.9908,0.9908,0.990812363733781,9014.760910919998,7.0
2019-05-05T23:00:00Z,0.9908,0.9908,0.9908,0.9908,0.9908000000000001,3007.1838070199997,2.0
2019-05-06T00:00:00Z,0.9908,0.992,0.9903,0.9913,0.9906748425222396,50101.34483304,57.0
2019-05-06T01:00:00Z,0.9911,0.9916,0.9881,0.991,0.990148336100207,568669.74137292,450.0
2019-05-06T02:00:00Z,0.991,0.9911,0.988,0.988,0.9897498388842882,132095.98405119,132.0
2019-05-06T03:00:00Z,0.988,0.989,0.988,0.9885,0.9889375618203478,140646.32591117997,51.0
2019-05-06T04:00:00Z,0.9885,0.989,0.9874,0.9874,0.9881698015801481,520749.3643376,132.0
2019-05-06T05:00:00Z,0.9875,0.9891,0.9874,0.9883,0.988020480441204,59731.721224229994,66.0
2019-05-06T06:00:00Z,0.988,0.9911,0.9875,0.9889,0.9888150902877357,58013.59705898002,68.0
2019-05-06T07:00:00Z,0.9884,0.9895,0.988,0.9895,0.9882746231390155,25322.347534149994,23.0
2019-05-06T08:00:00Z,0.99,0.9911,0.99,0.9904,0.9907798683727089,87279.13408,21.0
2019-05-06T09:00:00Z,0.9904,0.9904,0.989,0.9902,0.9893405004243172,86127.28248554,81.0
2019-05-06T10:00:00Z,0.9904,0.9905,0.9899,0.9899,0.9902054376497731,37175.83674622,19.0
